iter	Logloss
0	0.6659564209
1	0.6452176339
2	0.6237761579
3	0.607583095
4	0.5941953387
5	0.5821322196
6	0.5722477504
7	0.5638378034
8	0.5590278843
9	0.5544596645
10	0.5461697388
11	0.5412338257
12	0.5349785505
13	0.5300843157
14	0.5255564226
15	0.5217091588
16	0.5167127337
17	0.5144046456
18	0.5130882045
19	0.5094017247
20	0.5066718401
21	0.5041635568
22	0.5010426549
23	0.4976893834
24	0.4953922817
25	0.4923781913
26	0.4906420027
27	0.4876469203
28	0.4863702393
29	0.4845909773
30	0.4819904872
31	0.4798311942
32	0.4765691703
33	0.475373012
34	0.4741946411
35	0.4729711042
36	0.4701754761
37	0.468424857
38	0.4668494524
39	0.4652528599
40	0.4641343471
41	0.4632654681
42	0.4622122628
43	0.4597399902
44	0.4584075492
45	0.4571379307
46	0.4560885184
47	0.4539072963
48	0.4523285784
49	0.4506607492
50	0.4493422154
51	0.4479252407
52	0.4470334734
53	0.4452865601
54	0.4443915231
55	0.4423964146
56	0.4413394601
57	0.4394087437
58	0.4385754395
59	0.4367748152
60	0.434896589
61	0.4334249442
62	0.4317797416
63	0.4304098947
64	0.4272832816
65	0.4266804722
66	0.4253114537
67	0.422999442
68	0.4218680246
69	0.4201452637
70	0.4185166713
71	0.4168736921
72	0.4156846401
73	0.414245867
74	0.4129508754
75	0.4114300537
76	0.4100144741
77	0.4087801688
78	0.4070097133
79	0.404569179
80	0.4030443464
81	0.4018101283
82	0.3997901263
83	0.3984150042
84	0.3958428955
85	0.3939353725
86	0.3915025112
87	0.390688433
88	0.389420166
89	0.3876317487
90	0.3862606376
91	0.3851411656
92	0.3837285505
93	0.3824034773
94	0.3810265241
95	0.3799283273
96	0.3787202672
97	0.3771778652
98	0.3762755476
99	0.3751093401
100	0.3741764614
101	0.3734793527
102	0.3725695801
103	0.3709847586
104	0.369795881
105	0.3689426531
106	0.3675044904
107	0.3662806048
108	0.3641108268
109	0.3629815674
110	0.3619524275
111	0.3612962123
112	0.3597527858
113	0.3589535958
114	0.3576227025
115	0.3571232387
116	0.3554347229
117	0.354990496
118	0.353485478
119	0.3525142561
120	0.3512141636
121	0.3499141148
122	0.349054936
123	0.3476126099
124	0.3468749128
125	0.346757006
126	0.3454036168
127	0.3444847761
128	0.3436476789
129	0.3420986503
130	0.340799299
131	0.3394906616
132	0.3377756173
133	0.3364838082
134	0.3363951547
135	0.3353289795
136	0.3335978917
137	0.3329215785
138	0.3317452131
139	0.3308908517
140	0.3295877729
141	0.3286565072
142	0.3277826582
143	0.3271319144
144	0.3260123335
145	0.3259449768
146	0.3248988778
147	0.3241960144
148	0.3232007272
149	0.3226087952
150	0.3215571158
151	0.3207420567
152	0.3202467782
153	0.3194767979
154	0.3178385925
155	0.3172250802
156	0.3160143607
157	0.3154604667
158	0.3151788766
159	0.3146258109
160	0.3137345668
161	0.3130102539
162	0.3120336696
163	0.3113618469
164	0.3101886858
165	0.3092148045
166	0.3083564104
167	0.3076453509
168	0.3071379743
169	0.3063574873
170	0.3060614886
171	0.3054511588
172	0.3046453857
173	0.3035919625
174	0.3028421892
175	0.3020274571
176	0.3013120379
177	0.3007665798
178	0.3000367519
179	0.2994354248
180	0.2990276664
181	0.2986441476
182	0.2977750506
183	0.2971329389
184	0.2970319257
185	0.2957789394
186	0.2957308088
187	0.2956551906
188	0.2954137966
189	0.2942549787
190	0.2934928894
191	0.2931706892
192	0.292623509
193	0.2921423558
194	0.2916421727
195	0.2915944127
196	0.2909366063
197	0.2907202802
198	0.2906642151
199	0.2896730259
